id,name,rank,category,url
57a06005cf1fa5fbd5000216,Words to sentence,-7,reference,https://www.codewars.com/kata/57a06005cf1fa5fbd5000216
55e4c52ad58df7509c00007e,Invalid Login - Bug Fixing #11,-8,bug_fixes,https://www.codewars.com/kata/55e4c52ad58df7509c00007e
513f887e484edf3eb3000001,Person Class Bug,-7,bug_fixes,https://www.codewars.com/kata/513f887e484edf3eb3000001
51c38e14ea1c97ffaf000003,Populate hash with array keys and default value,-7,reference,https://www.codewars.com/kata/51c38e14ea1c97ffaf000003
55afed09237df73343000042,lucky number,-7,reference,https://www.codewars.com/kata/55afed09237df73343000042
56d5166ec87df55dbe000063,Sum of Array Averages,-7,algorithms,https://www.codewars.com/kata/56d5166ec87df55dbe000063
51dda84f91f5b5608b0004cc,Fizz / Buzz,-7,algorithms,https://www.codewars.com/kata/51dda84f91f5b5608b0004cc
5a1ebe0d46d843454100004c,Day of the Year,-7,reference,https://www.codewars.com/kata/5a1ebe0d46d843454100004c
56a4a3d4043c316002000042,regex  validation of 24 hours time.,-7,reference,https://www.codewars.com/kata/56a4a3d4043c316002000042
5888a57cbf87c25c840000c6,It is written in the stars,-7,games,https://www.codewars.com/kata/5888a57cbf87c25c840000c6
5857e8bb9948644aa1000246,Can Santa save Christmas?,-7,reference,https://www.codewars.com/kata/5857e8bb9948644aa1000246
5a4b16435f08299c7000274f,"Sum - Square Even, Root Odd",-7,reference,https://www.codewars.com/kata/5a4b16435f08299c7000274f
5566b0dd450172dfc4000005,Finding length of the sequence,-7,algorithms,https://www.codewars.com/kata/5566b0dd450172dfc4000005
582aafca2d44a4a4560000e7,Keep the Order,-7,reference,https://www.codewars.com/kata/582aafca2d44a4a4560000e7
56853c44b295170b73000007,Are they square?,-7,reference,https://www.codewars.com/kata/56853c44b295170b73000007
56f7493f5d7c12d1690000b6,Calculate mean and concatenate string,-7,reference,https://www.codewars.com/kata/56f7493f5d7c12d1690000b6
556cebcf7c58da564a000045,Number of Rectangles in a Grid,-7,games,https://www.codewars.com/kata/556cebcf7c58da564a000045
59b710ed70a3b7dd8f000027,Possibilities Array,-7,reference,https://www.codewars.com/kata/59b710ed70a3b7dd8f000027
515ceaebcc1dde8870000001,Retrieve array value by index with default,-7,reference,https://www.codewars.com/kata/515ceaebcc1dde8870000001
57ef016a7b45ef647a00002d,Homogenous arrays,-7,reference,https://www.codewars.com/kata/57ef016a7b45ef647a00002d
595519279be6c575b5000016,Battle of the characters (Easy),-7,algorithms,https://www.codewars.com/kata/595519279be6c575b5000016
55c7f90ac8025ebee1000062,Failed Sort - Bug Fixing #4,-7,bug_fixes,https://www.codewars.com/kata/55c7f90ac8025ebee1000062
559e10e2e162b69f750000b4,What dominates your array?,-7,reference,https://www.codewars.com/kata/559e10e2e162b69f750000b4
56368f37d464c0a43c00007f,Debug Basic Calculator,-7,bug_fixes,https://www.codewars.com/kata/56368f37d464c0a43c00007f
5520714decb43308ea000083,Nth Root of a Number,-7,reference,https://www.codewars.com/kata/5520714decb43308ea000083
57037ed25a7263ac35000c80,Generate user links,-8,games,https://www.codewars.com/kata/57037ed25a7263ac35000c80
59ca8e8e1a68b7de740001f4,String matchup,-7,algorithms,https://www.codewars.com/kata/59ca8e8e1a68b7de740001f4
52a6b34e43c2484ac10000cd,Naughty or Nice?,-7,reference,https://www.codewars.com/kata/52a6b34e43c2484ac10000cd
5a4ff3c5fd56cbaf9800003e,Working with arrays I (and why your code fails in some katas),-7,refactoring,https://www.codewars.com/kata/5a4ff3c5fd56cbaf9800003e
5f8341f6d030dc002a69d7e4,Least Larger,-7,algorithms,https://www.codewars.com/kata/5f8341f6d030dc002a69d7e4
5cd5ba1ce4471a00256930c0,last digits of a number,-7,reference,https://www.codewars.com/kata/5cd5ba1ce4471a00256930c0
5b6375f707a2664ada00002a,Who's Online?,-7,reference,https://www.codewars.com/kata/5b6375f707a2664ada00002a
582c81d982a0a65424000201,Is every value in the array an array?,-7,reference,https://www.codewars.com/kata/582c81d982a0a65424000201
58235a167a8cb37e1a0000db,Pair of gloves,-6,games,https://www.codewars.com/kata/58235a167a8cb37e1a0000db
